word,answer,cosine_similarity
koken,koken,1.0
knippen,kapper,0.683
geur,ruiken,0.933
ademen,ademen,1.0
eten,eten,1.0
zwemmen,zwemmen,1.0
gooien,gooien,1.0
water,regen,0.668
wind,wind,1.0
rijk,geld,0.585
gek,blij,0.621
vuur,heet,0.786
oud,bejaard,0.907
sterk,sterk,1.0
zoet,eten,0.646
verbranden,steken,0.649
horen,luisteren,0.813
ruiken,geur,0.933
snijden,snijden,1.0
olifant,olifant,1.0
zoemen,bang,0.566
piepen,eekhoorn,0.591
onweer,onweer,1.0
vangen,vangen,1.0
kauwen,kauwen,1.0
vliegen,vliegen,1.0
staan,staan,1.0
auto,rijden,0.742
leeg,leeg,1.0
groot,hoog,0.724
bitter,vies,0.708
koud,koud,1.0
hond,hond,1.0
ei,kip,0.77
vrouw,lichaam,0.598
kruipen,tijger,0.506
haasten,wind,0.52
dansen,zingen,0.688
kat,kat,1.0
dood,stikken,0.599
snel,blazen,0.523
slang,water,0.671
dik,olifant,0.575
huilen,huilen,1.0
drinken,drinken,1.0
comfortabel,zingen,0.502
bloem,vlieg,0.554
kind,baby,0.881
ver,ballon,0.52
blij,lachen,0.673
hoorn,avontuur,0.512
heet,moe,0.573
zout,slissen,0.534
ziek,hoesten,0.661
zwaaien,zwaaien,1.0
juichen,dansen,0.589
juichen,juichen,1.0
vis,vis,1.0
hoog,groot,0.724
hoog,rijken,0.617
hoog,hoog,1.0
regen,regen,1.0
verdrietig,huilen,0.695
verdrietig,verdrietig,1.0
langzaam,slowmotion,
langzaam,joggen,0.612
langzaam,langzaam,1.0
weten,denken,0.816
weten,idee,0.646
weten,bedenken,0.757
rennen,rennen,1.0
vliegtuig,vliegtuig,1.0
bal,gooien,0.656
bal,werpen,0.669
bal,bal,1.0
zwaar,zwanger,0.552
zwaar,dik,0.797
zwaar,zwaar,1.0
niet,kruis,0.503
niet,verboden,0.683
niet,luisteren,0.506
bang,schrikken,0.874
bang,bang,1.0
stil,stil,1.0
staart,pruik,0.659
staart,bruid,0.516
staart,staart,1.0
vallen,wegduwen,0.637
vallen,vallen,1.0
likken,likken,1.0
eend,eend,1.0
zingen,zingen,1.0
ik,vrouw,0.645
ik,ik,1.0
bliksem,bliksem,1.0
klein,klein,1.0
slaan,slaan,1.0
slapen,slapen,1.0
zuigen,sabbelen,0.877
zuigen,zuigen,1.0
kotsen,overgeven,0.887
kotsen,kotsen,1.0
klok,klok,1.0
geheim,geheim,1.0
boos,boos,1.0
walgen,walgen,1.0
goed,goed,1.0
luidruchtig,druk,0.746
luidruchtig,schreeuwen,0.734
luidruchtig,babbelen,0.602
man,baas,0.751
man,bodybuilder,0.622
man,fransman,0.644
bijten,bijten,1.0
lachen,lachen,1.0
telefoon,fiets,0.53
telefoon,telefoon,1.0
fiets,bel,0.529
fiets,fiets,1.0
vogel,vogel,1.0
